Name,Additional Effects From Quality,Superior,Anomalous,Divergent,Phantasmal,awakened,vaal,support,exceptional,total,Superior->Anomalous,Superior->Divergent,Superior->Phantasmal,Anomalous->Superior,Anomalous->Divergent,Anomalous->Phantasmal,Divergent->Superior,Divergent->Anomalous,Divergent->Phantasmal,Phantasmal->Superior,Phantasmal->Anomalous,Phantasmal->Divergent
Fireball,(0–20)% increased Projectile Speed,50,100,40,10,False,True,False,False,200,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.5,0.4,0.1,0.3125,0.625,0.0625,0.2631578947368421,0.5263157894736842,0.21052631578947367
Ice Nova,(0–10)% increased Area of Effect,50,100,100,100,False,True,False,False,350,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4
Leap Slam,(0–20)% increased Stun Duration on enemies,50,100,100,20,False,False,False,False,270,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.2,0.4,0.4
Charged Dash,(0–10)% increased Attack Speed,50,20,100,0,False,False,False,False,170,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.6666666666666666,0.0,0.7142857142857143,0.2857142857142857,0.0,0.29411764705882354,0.11764705882352941,0.5882352941176471
Blade Flurry,(0–10)% increased Attack Speed,50,100,50,0,False,True,False,False,200,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.25,0.5,0.25
Sweep,(0–10)% increased Area of Effect,50,100,100,20,False,False,False,False,270,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.2,0.4,0.4
Ground Slam,(0–10)% increased Area of Effect(0–20)% increased Stun Duration on enemies,50,100,50,0,False,True,False,False,200,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.25,0.5,0.25
Cleave,(0–10)% increased Attack Speed,50,20,50,50,False,True,False,False,170,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667
Shield Charge,(0–20)% increased Movement Speed,50,100,100,0,False,False,False,False,250,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.2,0.4,0.4
Enduring Cry,(0–20)% increased Skill Effect Duration,50,100,20,0,False,False,False,False,170,0.8333333333333334,0.16666666666666666,0.0,0.7142857142857143,0.2857142857142857,0.0,0.3333333333333333,0.6666666666666666,0.0,0.29411764705882354,0.5882352941176471,0.11764705882352941
Double Strike,(0–10)% increased Attack Speed,50,100,100,0,False,True,False,False,250,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.2,0.4,0.4
Lacerate,(0–10)% increased Area of Effect,50,100,100,0,False,False,False,False,250,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.2,0.4,0.4
Elemental Hit,(0–20)% increased Elemental Damage,50,100,100,0,False,False,False,False,250,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.2,0.4,0.4
Immortal Call,(0–20)% increased Skill Effect Duration,50,100,10,0,False,True,False,False,160,0.9090909090909091,0.09090909090909091,0.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3125,0.625,0.0625
Dual Strike,(0–20)% increased Critical Strike Chance+(0–10)% to Critical Strike Multiplier,50,100,100,20,False,False,False,False,270,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.2,0.4,0.4
Whirling Blades,(0–10)% increased Attack Speed,50,100,20,0,False,False,False,False,170,0.8333333333333334,0.16666666666666666,0.0,0.7142857142857143,0.2857142857142857,0.0,0.3333333333333333,0.6666666666666666,0.0,0.29411764705882354,0.5882352941176471,0.11764705882352941
Frenzy,(0–10)% increased Attack Speed,50,100,20,50,False,False,False,False,220,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25,0.5,0.25,0.29411764705882354,0.5882352941176471,0.11764705882352941
Detonate Dead,(0–10)% increased Cast Speed,50,10,20,0,False,True,False,False,80,0.3333333333333333,0.6666666666666666,0.0,0.7142857142857143,0.2857142857142857,0.0,0.8333333333333334,0.16666666666666666,0.0,0.625,0.125,0.25
Volatile Dead,(0–10)% increased Area of Effect,50,100,20,0,False,False,False,False,170,0.8333333333333334,0.16666666666666666,0.0,0.7142857142857143,0.2857142857142857,0.0,0.3333333333333333,0.6666666666666666,0.0,0.29411764705882354,0.5882352941176471,0.11764705882352941
