id,text,type,option
pseudo.pseudo_total_cold_resistance,+#% total to Cold Resistance,pseudo,
pseudo.pseudo_total_fire_resistance,+#% total to Fire Resistance,pseudo,
pseudo.pseudo_total_lightning_resistance,+#% total to Lightning Resistance,pseudo,
pseudo.pseudo_total_elemental_resistance,+#% total Elemental Resistance,pseudo,
pseudo.pseudo_total_chaos_resistance,+#% total to Chaos Resistance,pseudo,
pseudo.pseudo_total_resistance,+#% total Resistance,pseudo,
pseudo.pseudo_count_resistances,# total Resistances,pseudo,
pseudo.pseudo_count_elemental_resistances,# total Elemental Resistances,pseudo,
pseudo.pseudo_total_all_elemental_resistances,+#% total to all Elemental Resistances,pseudo,
pseudo.pseudo_total_strength,+# total to Strength,pseudo,
pseudo.pseudo_total_dexterity,+# total to Dexterity,pseudo,
pseudo.pseudo_total_intelligence,+# total to Intelligence,pseudo,
pseudo.pseudo_total_all_attributes,+# total to all Attributes,pseudo,
pseudo.pseudo_total_life,+# total maximum Life,pseudo,
pseudo.pseudo_total_mana,+# total maximum Mana,pseudo,
pseudo.pseudo_total_energy_shield,+# total maximum Energy Shield,pseudo,
pseudo.pseudo_increased_energy_shield,#% total increased maximum Energy Shield,pseudo,
pseudo.pseudo_total_attack_speed,+#% total Attack Speed,pseudo,
pseudo.pseudo_total_cast_speed,+#% total Cast Speed,pseudo,
pseudo.pseudo_increased_movement_speed,#% increased Movement Speed,pseudo,
pseudo.pseudo_increased_physical_damage,#% total increased Physical Damage,pseudo,
pseudo.pseudo_global_critical_strike_chance,+#% Global Critical Strike Chance,pseudo,
pseudo.pseudo_critical_strike_chance_for_spells,+#% total Critical Strike Chance for Spells,pseudo,
pseudo.pseudo_global_critical_strike_multiplier,+#% Global Critical Strike Multiplier,pseudo,
pseudo.pseudo_adds_physical_damage,Adds # to # Physical Damage,pseudo,
pseudo.pseudo_adds_lightning_damage,Adds # to # Lightning Damage,pseudo,
pseudo.pseudo_adds_cold_damage,Adds # to # Cold Damage,pseudo,
pseudo.pseudo_adds_fire_damage,Adds # to # Fire Damage,pseudo,
pseudo.pseudo_adds_elemental_damage,Adds # to # Elemental Damage,pseudo,
pseudo.pseudo_adds_chaos_damage,Adds # to # Chaos Damage,pseudo,
pseudo.pseudo_adds_damage,Adds # to # Damage,pseudo,
pseudo.pseudo_adds_physical_damage_to_attacks,Adds # to # Physical Damage to Attacks,pseudo,
